"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","GDP","TOT","MLN_USD","A","1961",44299.933,
"CAN","GDP","TOT","MLN_USD","A","1962",48574.474,
"CAN","GDP","TOT","MLN_USD","A","1963",51906.612,
"CAN","GDP","TOT","MLN_USD","A","1964",56381.698,
"CAN","GDP","TOT","MLN_USD","A","1965",61782.956,
"CAN","GDP","TOT","MLN_USD","A","1966",68222.013,
"CAN","GDP","TOT","MLN_USD","A","1967",72368.942,
"CAN","GDP","TOT","MLN_USD","A","1968",80018.55,
"CAN","GDP","TOT","MLN_USD","A","1969",88693.465,
"CAN","GDP","TOT","MLN_USD","A","1970",99264.297,
"CAN","GDP","TOT","MLN_USD","A","1971",108487.491,
"CAN","GDP","TOT","MLN_USD","A","1972",119424.079,
"CAN","GDP","TOT","MLN_USD","A","1973",134444.357,
"CAN","GDP","TOT","MLN_USD","A","1974",151463.161,
"CAN","GDP","TOT","MLN_USD","A","1975",168050.057,
"CAN","GDP","TOT","MLN_USD","A","1976",187740.084,
"CAN","GDP","TOT","MLN_USD","A","1977",206453.435,
"CAN","GDP","TOT","MLN_USD","A","1978",229230.414,
"CAN","GDP","TOT","MLN_USD","A","1979",257496.378,
"CAN","GDP","TOT","MLN_USD","A","1980",286868.679,
"CAN","GDP","TOT","MLN_USD","A","1981",324813.802,
"CAN","GDP","TOT","MLN_USD","A","1982",333889.388,
"CAN","GDP","TOT","MLN_USD","A","1983",355992.913,
"CAN","GDP","TOT","MLN_USD","A","1984",390628.604,
"CAN","GDP","TOT","MLN_USD","A","1985",422072.898,
"CAN","GDP","TOT","MLN_USD","A","1986",439808.702,
"CAN","GDP","TOT","MLN_USD","A","1987",469040.522,
"CAN","GDP","TOT","MLN_USD","A","1988",507000.423,
"CAN","GDP","TOT","MLN_USD","A","1989",539084.222,
"CAN","GDP","TOT","MLN_USD","A","1990",560184.877,
"CAN","GDP","TOT","MLN_USD","A","1991",567047.864,
"CAN","GDP","TOT","MLN_USD","A","1992",585191.62,
"CAN","GDP","TOT","MLN_USD","A","1993",615002.847,
"CAN","GDP","TOT","MLN_USD","A","1994",656367.112,
"CAN","GDP","TOT","MLN_USD","A","1995",688183.628,
"CAN","GDP","TOT","MLN_USD","A","1996",712130.958,
"CAN","GDP","TOT","MLN_USD","A","1997",755416.033,
"CAN","GDP","TOT","MLN_USD","A","1998",793682.05,
"CAN","GDP","TOT","MLN_USD","A","1999",846421.343,
"CAN","GDP","TOT","MLN_USD","A","2000",901003.29,
"CAN","GDP","TOT","MLN_USD","A","2001",937793.044,
"CAN","GDP","TOT","MLN_USD","A","2002",971009.088,
